Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,15.620000,16.010000,15.310000,15.480000,15.480000,0
2021-07-02,15.530000,15.540000,14.250000,15.070000,15.070000,0
2021-07-06,15.770000,17.940001,15.730000,16.440001,16.440001,0
2021-07-07,16.430000,17.639999,16.080000,16.200001,16.200001,0
2021-07-08,17.740000,21.290001,17.740000,19.000000,19.000000,0
2021-07-09,17.879999,18.129999,16.080000,16.180000,16.180000,0
2021-07-12,16.850000,17.520000,16.139999,16.170000,16.170000,0
2021-07-13,16.389999,17.230000,15.940000,17.120001,17.120001,0
2021-07-14,17.340000,17.510000,15.950000,16.330000,16.330000,0
2021-07-15,16.700001,18.090000,16.559999,17.010000,17.010000,0
2021-07-16,16.799999,18.700001,16.030001,18.450001,18.450001,0
2021-07-19,19.610001,25.090000,19.270000,22.500000,22.500000,0
2021-07-20,20.889999,22.969999,19.370001,19.730000,19.730000,0
2021-07-21,19.730000,19.820000,17.809999,17.910000,17.910000,0
2021-07-22,17.590000,18.450001,17.400000,17.690001,17.690001,0
2021-07-23,16.980000,17.480000,16.330000,17.200001,17.200001,0
2021-07-26,18.670000,19.389999,17.530001,17.580000,17.580000,0
2021-07-27,18.620001,20.440001,18.250000,19.360001,19.360001,0
2021-07-28,19.410000,19.620001,17.520000,18.309999,18.309999,0
2021-07-29,17.910000,18.010000,17.190001,17.700001,17.700001,0
2021-07-30,19.690001,19.719999,17.530001,18.240000,18.240000,0
2021-08-02,18.160000,19.870001,17.990000,19.459999,19.459999,0
2021-08-03,19.170000,20.440001,17.700001,18.040001,18.040001,0
2021-08-04,18.230000,18.900000,17.670000,17.969999,17.969999,0
2021-08-05,17.730000,17.840000,17.230000,17.280001,17.280001,0
2021-08-06,17.459999,17.500000,16.139999,16.150000,16.150000,0
2021-08-09,17.120001,17.389999,16.590000,16.719999,16.719999,0
2021-08-10,16.820000,17.049999,16.340000,16.790001,16.790001,0
2021-08-11,16.809999,17.090000,16.070000,16.170000,16.170000,0
2021-08-12,16.330000,16.420000,15.490000,15.590000,15.590000,0
2021-08-13,15.680000,15.720000,15.190000,15.450000,15.450000,0
2021-08-16,17.049999,17.709999,16.020000,16.120001,16.120001,0
2021-08-17,17.309999,19.559999,16.709999,17.910000,17.910000,0
2021-08-18,17.559999,21.639999,17.309999,21.570000,21.570000,0
2021-08-19,23.120001,24.740000,20.370001,21.670000,21.670000,0
2021-08-20,22.740000,23.900000,18.180000,18.559999,18.559999,0
2021-08-23,18.830000,18.950001,16.950001,17.150000,17.150000,0
2021-08-24,16.959999,17.510000,16.940001,17.219999,17.219999,0
2021-08-25,17.420000,17.500000,16.459999,16.790001,16.790001,0
2021-08-26,17.459999,19.270000,17.160000,18.840000,18.840000,0
2021-08-27,17.950001,18.219999,16.110001,16.389999,16.389999,0
2021-08-30,16.770000,16.799999,15.980000,16.190001,16.190001,0
2021-08-31,15.980000,17.070000,15.910000,16.480000,16.480000,0
2021-09-01,16.059999,16.709999,15.680000,16.110001,16.110001,0
2021-09-02,16.270000,16.980000,15.730000,16.410000,16.410000,0
2021-09-03,16.270000,17.059999,16.080000,16.410000,16.410000,0
2021-09-07,16.940001,18.389999,16.889999,18.139999,18.139999,0
2021-09-08,18.969999,19.639999,17.780001,17.959999,17.959999,0
2021-09-09,19.440001,19.540001,17.170000,18.799999,18.799999,0
2021-09-10,17.940001,21.129999,16.990000,20.950001,20.950001,0
2021-09-13,19.639999,21.180000,18.760000,19.370001,19.370001,0
2021-09-14,19.580000,20.469999,18.389999,19.459999,19.459999,0
2021-09-15,19.299999,20.270000,18.010000,18.180000,18.180000,0
2021-09-16,18.410000,19.760000,17.650000,18.690001,18.690001,0
2021-09-17,18.370001,21.510000,18.350000,20.809999,20.809999,0
2021-09-20,24.250000,28.790001,23.900000,25.709999,25.709999,0
2021-09-21,23.410000,25.600000,21.709999,24.360001,24.360001,0
2021-09-22,22.719999,23.400000,20.750000,20.870001,20.870001,0
2021-09-23,19.910000,20.209999,18.420000,18.629999,18.629999,0
2021-09-24,19.330000,20.410000,17.629999,17.750000,17.750000,0
2021-09-27,17.780001,19.320000,17.740000,18.760000,18.760000,0
2021-09-28,19.740000,24.820000,19.709999,23.250000,23.250000,0
2021-09-29,22.070000,23.790001,21.450001,22.559999,22.559999,0
2021-09-30,21.480000,24.709999,20.600000,23.139999,23.139999,0
2021-10-01,24.780001,24.889999,20.850000,21.100000,21.100000,0
2021-10-04,22.900000,24.580000,21.879999,22.959999,22.959999,0
2021-10-05,22.920000,23.170000,20.620001,21.299999,21.299999,0
2021-10-06,22.950001,24.400000,20.990000,21.000000,21.000000,0
2021-10-07,20.540001,20.760000,19.070000,19.540001,19.540001,0
2021-10-08,19.459999,19.940001,18.200001,18.770000,18.770000,0
2021-10-11,19.930000,20.450001,18.110001,20.000000,20.000000,0
2021-10-12,20.620001,20.809999,18.969999,19.850000,19.850000,0
2021-10-13,20.139999,20.230000,18.440001,18.639999,18.639999,0
2021-10-14,18.010000,18.080000,16.799999,16.860001,16.860001,0
2021-10-15,16.639999,16.850000,15.720000,16.299999,16.299999,0
2021-10-18,17.290001,17.930000,16.270000,16.309999,16.309999,0
2021-10-19,16.090000,16.309999,15.570000,15.700000,15.700000,0
2021-10-20,15.820000,15.890000,15.290000,15.490000,15.490000,0
2021-10-21,16.059999,16.110001,14.920000,15.010000,15.010000,0
2021-10-22,15.350000,16.389999,14.840000,15.430000,15.430000,0
2021-10-25,16.139999,16.330000,15.100000,15.240000,15.240000,0
2021-10-26,15.020000,16.709999,14.900000,15.980000,15.980000,0
2021-10-27,15.790000,17.290001,15.540000,16.980000,16.980000,0
2021-10-28,17.059999,17.160000,16.230000,16.530001,16.530001,0
2021-10-29,17.400000,18.059999,16.129999,16.260000,16.260000,0
2021-11-01,16.850000,17.700001,16.320000,16.410000,16.410000,0
2021-11-02,16.540001,16.650000,15.890000,16.030001,16.030001,0
2021-11-03,16.110001,16.389999,14.900000,15.100000,15.100000,0
2021-11-04,15.060000,16.139999,14.730000,15.440000,15.440000,0
2021-11-05,15.590000,17.020000,14.950000,16.480000,16.480000,0
2021-11-08,17.230000,17.690001,16.440001,17.219999,17.219999,0
2021-11-09,17.430000,18.570000,17.209999,17.780001,17.780001,0
2021-11-10,17.740000,19.900000,17.219999,18.730000,18.730000,0
2021-11-11,18.340000,18.389999,17.270000,17.660000,17.660000,0
2021-11-12,17.490000,17.690001,16.150000,16.290001,16.290001,0
2021-11-15,17.030001,17.459999,16.490000,16.490000,16.490000,0
2021-11-16,16.860001,17.080000,16.030001,16.370001,16.370001,0
2021-11-17,16.360001,17.190001,16.280001,17.110001,17.110001,0
2021-11-18,16.809999,18.150000,16.379999,17.590000,17.590000,0
2021-11-19,17.360001,19.010000,17.230000,17.910000,17.910000,0
2021-11-22,18.200001,19.590000,17.350000,19.170000,19.170000,0
2021-11-23,20.240000,20.910000,19.030001,19.379999,19.379999,0
2021-11-24,19.170000,20.959999,18.520000,18.580000,18.580000,0
2021-11-26,26.620001,28.990000,23.879999,28.620001,28.620001,0
2021-11-29,25.309999,25.690001,21.709999,22.959999,22.959999,0
2021-11-30,26.230000,28.559999,23.709999,27.190001,27.190001,0
2021-12-01,24.920000,32.610001,22.379999,31.120001,31.120001,0
2021-12-02,29.440001,30.680000,27.150000,27.950001,27.950001,0
2021-12-03,26.950001,35.320000,25.889999,30.670000,30.670000,0
2021-12-06,28.990000,30.820000,26.750000,27.180000,27.180000,0
2021-12-07,24.580000,24.690001,21.580000,21.889999,21.889999,0
2021-12-08,21.740000,23.110001,19.850000,19.900000,19.900000,0
2021-12-09,20.309999,22.120001,19.940001,21.580000,21.580000,0
2021-12-10,21.270000,21.299999,18.690001,18.690001,18.690001,0
2021-12-13,19.290001,21.180000,18.959999,20.309999,20.309999,0
2021-12-14,19.670000,23.000000,19.670000,21.889999,21.889999,0
2021-12-15,21.600000,23.469999,19.020000,19.290001,19.290001,0
2021-12-16,18.559999,22.129999,18.190001,20.570000,20.570000,0
2021-12-17,20.700001,23.260000,20.490000,21.570000,21.570000,0
2021-12-20,25.889999,27.389999,22.850000,22.870001,22.870001,0
2021-12-21,22.280001,22.680000,20.900000,21.010000,21.010000,0
2021-12-22,21.040001,21.360001,18.590000,18.629999,18.629999,0
2021-12-23,18.809999,18.930000,17.620001,17.959999,17.959999,0
2021-12-27,19.370001,19.410000,17.549999,17.680000,17.680000,0
2021-12-28,17.780001,18.469999,17.510000,17.540001,17.540001,0
2021-12-29,17.629999,18.000000,16.709999,16.950001,16.950001,0
2021-12-30,17.299999,17.790001,16.620001,17.330000,17.330000,0
2021-12-31,17.629999,18.270000,16.990000,17.219999,17.219999,0
2022-01-03,17.600000,18.540001,16.559999,16.600000,16.600000,0
2022-01-04,16.570000,17.809999,16.340000,16.910000,16.910000,0
2022-01-05,17.070000,20.170000,16.580000,19.730000,19.730000,0
2022-01-06,20.290001,21.059999,19.080000,19.610001,19.610001,0
2022-01-07,19.850000,20.799999,18.570000,18.760000,18.760000,0
2022-01-10,19.580000,23.330000,19.290001,19.400000,19.400000,0
2022-01-11,19.620001,21.000000,18.200001,18.410000,18.410000,0
2022-01-12,18.170000,18.690001,17.360001,17.620001,17.620001,0
